/data_file_name=/CTD002_D20240122T183552,csv;;;;;;;;
/tare_pressure=10,415;;;;;;;;
/tare_pressure_sd=0,003;;;;;;;;
/tare_pressure_n=10;;;;;;;;
datetime;conductivity;temperature1;temperature 1 corrigé;pressure;temperature2;temperature 2 corrigé;voltage;Remarques
2024-01-22T18:35:54;0;27,11;27,16;-0,001;25,9;26,33;4,05;
2024-01-22T18:35:55;0;27,07;27,12;-0,004;25,9;26,33;4,02;
2024-01-22T18:35:55;0;27,06;27,11;-0,004;25,9;26,33;4,02;
2024-01-22T18:35:56;0;27,03;27,08;-0,005;25,9;26,33;4,02;
2024-01-22T18:35:57;0;27,01;27,06;-0,004;25,9;26,33;4,02;
2024-01-22T18:35:58;0;27,03;27,08;-0,004;25,9;26,33;4,022;
2024-01-22T18:35:58;0;26,91;26,96;0;25,9;26,33;4,022;
2024-01-22T18:35:59;0;26,8;26,85;0,002;25,9;26,33;4,024;
2024-01-22T18:36:00;0;26,72;26,77;-0,001;25,9;26,33;4,02;
2024-01-22T18:36:00;0;26,66;26,71;-0,004;25,9;26,33;4,02;
2024-01-22T18:36:01;0;26,62;26,67;-0,006;25,9;26,33;4,02;
2024-01-22T18:36:02;0;26,51;26,56;-0,007;25,9;26,33;4,02;
2024-01-22T18:36:03;0;26,46;26,52;-0,001;25,9;26,33;4,02;
2024-01-22T18:36:03;0;26,42;26,48;0,003;25,9;26,33;4,02;
2024-01-22T18:36:04;0;26,35;26,41;0,003;25,9;26,33;4,024;
2024-01-22T18:36:05;0;26,34;26,4;-0,003;25,9;26,33;4,018;
2024-01-22T18:36:06;0;26,33;26,39;0;25,9;26,33;4,02;
2024-01-22T18:36:06;0;26,27;26,33;0;25,9;26,33;4,018;
2024-01-22T18:36:07;0;26,25;26,31;0;25,9;26,33;4,018;
2024-01-22T18:36:08;0;26,19;26,25;-0,001;25,9;26,33;4,022;
2024-01-22T18:36:09;0;26,16;26,22;-0,001;25,8;26,22;4,02;
2024-01-22T18:36:09;0;26,04;26,1;-0,002;25,8;26,22;4,02;
2024-01-22T18:36:10;0;26,02;26,08;-0,001;25,8;26,22;4,02;
2024-01-22T18:36:11;0;25,98;26,04;-0,005;25,8;26,22;4,02;
2024-01-22T18:36:11;0;26,14;26,2;-0,005;25,8;26,22;3,946;
2024-01-22T18:36:12;35580;25,96;26,02;0,103;25,8;26,22;3,954;Mise à l'eau
2024-01-22T18:36:13;43420;25,73;25,79;0,527;25,8;26,22;3,952;
2024-01-22T18:36:14;42850;25,63;25,69;0,656;25,7;26,12;3,954;
2024-01-22T18:36:14;57160;25,59;25,65;0,805;25,6;26,02;3,952;
2024-01-22T18:36:15;59630;25,52;25,58;1,371;25,5;25,92;3,954;
2024-01-22T18:36:16;60260;25,53;25,59;1,842;25,5;25,92;3,954;
2024-01-22T18:36:17;60880;25,48;25,54;2,548;25,4;25,82;3,954;
2024-01-22T18:36:17;61280;25,49;25,55;2,977;25,4;25,82;3,956;
2024-01-22T18:36:18;61510;25,49;25,55;3,111;25,3;25,72;3,954;
2024-01-22T18:36:19;61910;25,49;25,55;3,786;25,3;25,72;3,954;
2024-01-22T18:36:19;62190;25,45;25,51;4,258;25,3;25,72;3,956;
2024-01-22T18:36:20;62380;25,49;25,55;4,44;25,2;25,61;3,954;
2024-01-22T18:36:21;62650;25,49;25,55;5,078;25,2;25,61;3,952;
2024-01-22T18:36:22;62800;25,45;25,51;5,148;25,2;25,61;3,956;
2024-01-22T18:36:22;63000;25,44;25,5;5,578;25,1;25,51;3,952;
2024-01-22T18:36:23;63000;25,46;25,52;5,625;25,1;25,51;3,954;
2024-01-22T18:36:24;63140;25,46;25,52;4,838;25,1;25,51;3,954;
2024-01-22T18:36:25;63150;25,46;25,52;4,206;25,1;25,51;3,96;
2024-01-22T18:36:25;63170;25,48;25,54;4,215;25;25,41;3,954;
2024-01-22T18:36:26;63220;25,47;25,53;4,692;25;25,41;3,954;
2024-01-22T18:36:27;63220;25,46;25,52;4,761;25;25,41;3,954;
2024-01-22T18:36:28;63230;25,48;25,54;4,443;25;25,41;3,954;
2024-01-22T18:36:28;63250;25,44;25,5;4,21;25;25,41;3,956;
2024-01-22T18:36:29;63280;25,46;25,52;4,132;25;25,41;3,956;
2024-01-22T18:36:30;63250;25,47;25,53;4,133;24,9;25,31;3,954;
2024-01-22T18:36:30;63310;25,47;25,53;4,23;24,9;25,31;3,956;
2024-01-22T18:36:31;63320;25,45;25,51;4,349;24,9;25,31;3,956;
2024-01-22T18:36:32;63320;25,49;25,55;4,439;24,9;25,31;3,956;
2024-01-22T18:36:33;63310;25,45;25,51;4,367;24,9;25,31;3,952;
2024-01-22T18:36:33;63360;25,48;25,54;4,135;24,9;25,31;3,956;
