echo /CTD002_D20240131T210147,csv;;;;;;;;
/data_file_name=/CTD002_D20240131T210147,csv;;;;;;;;
/tare_pressure=10,412;;;;;;;;
/tare_pressure_sd=0,004;;;;;;;;
/tare_pressure_n=10;;;;;;;;
datetime;conductivity;temperature1;temperature 1 corrigé;pressure;temperature2;temperature 2 corrigé;voltage;Remarques
2024-01-31T21:01:49;0;28,91;28,94;0,001;28,5;28,97;4,042;
2024-01-31T21:01:49;0;28,9;28,93;0,007;28,5;28,97;4,014;
2024-01-31T21:01:50;0;28,91;28,94;-0,002;28,5;28,97;4,014;
2024-01-31T21:01:51;0;28,92;28,95;-0,007;28,5;28,97;4,016;
2024-01-31T21:01:52;0;28,91;28,94;-0,004;28,5;28,97;4,014;
2024-01-31T21:01:52;0;28,92;28,95;-0,004;28,5;28,97;4,014;
2024-01-31T21:01:53;0;28,93;28,96;0,002;28,5;28,97;4,016;
2024-01-31T21:01:54;0;28,88;28,91;-0,004;28,5;28,97;4,014;
2024-01-31T21:01:54;0;28,83;28,87;-0,003;28,5;28,97;4,014;
2024-01-31T21:01:55;0;28,8;28,84;-0,002;28,5;28,97;4,014;
2024-01-31T21:01:56;0;28,75;28,79;-0,002;28,4;28,87;4,018;
2024-01-31T21:01:57;0;28,63;28,67;0,001;28,4;28,87;4,014;
2024-01-31T21:01:57;0;28,56;28,6;-0,001;28,4;28,87;4,014;
2024-01-31T21:01:58;0;28,59;28,63;-0,003;28,4;28,87;4,014;
2024-01-31T21:01:59;0;28,57;28,61;-0,002;28,4;28,87;4,014;
2024-01-31T21:02:00;0;28,51;28,55;0;28,4;28,87;4,014;
2024-01-31T21:02:00;0;28,49;28,53;-0,001;28,4;28,87;4,016;
2024-01-31T21:02:01;0;28,57;28,61;0,002;28,4;28,87;4,014;
2024-01-31T21:02:02;0;28,61;28,65;-0,002;28,4;28,87;4,014;
2024-01-31T21:02:03;0;28,62;28,66;0,002;28,4;28,87;4,016;
2024-01-31T21:02:03;0;28,51;28,55;0;28,4;28,87;4,014;
2024-01-31T21:02:04;0;28,55;28,59;-0,002;28,4;28,87;4,014;
2024-01-31T21:02:05;0;28,62;28,66;0,004;28,4;28,87;4,014;
2024-01-31T21:02:06;0;28,54;28,58;-0,002;28,4;28,87;4,014;
2024-01-31T21:02:06;0;28,55;28,59;0,002;28,4;28,87;4,014;
2024-01-31T21:02:07;0;28,53;28,57;0;28,4;28,87;4,014;
2024-01-31T21:02:08;0;28,59;28,63;0,001;28,4;28,87;4,014;
2024-01-31T21:02:09;0;28,62;28,66;0;28,4;28,87;4,014;
2024-01-31T21:02:09;0;28,58;28,62;0,002;28,4;28,87;4,014;
2024-01-31T21:02:10;0;28,6;28,64;-0,004;28,4;28,87;4,014;
2024-01-31T21:02:11;0;28,62;28,66;-0,003;28,4;28,87;4,014;
2024-01-31T21:02:12;0;28,62;28,66;-0,002;28,4;28,87;4,014;
2024-01-31T21:02:12;0;28,6;28,64;-0,001;28,4;28,87;4,016;
2024-01-31T21:02:13;0;28,6;28,64;0,001;28,4;28,87;4,014;
2024-01-31T21:02:14;0;28,66;28,7;0;28,4;28,87;4,014;
2024-01-31T21:02:15;0;28,67;28,71;0,003;28,4;28,87;4,014;
2024-01-31T21:02:15;0;28,63;28,67;0;28,4;28,87;4,014;
2024-01-31T21:02:16;0;28,67;28,71;-0,002;28,4;28,87;4,014;
2024-01-31T21:02:17;0;28,65;28,69;-0,009;28,4;28,87;4,014;
2024-01-31T21:02:17;0;28,63;28,67;-0,003;28,4;28,87;4,014;
2024-01-31T21:02:18;0;28,69;28,73;-0,001;28,4;28,87;4,014;
2024-01-31T21:02:19;0;28,71;28,75;0;28,4;28,87;4,014;
2024-01-31T21:02:20;0;28,67;28,71;0,001;28,4;28,87;4,01;
2024-01-31T21:02:20;0;28,73;28,77;0,002;28,4;28,87;4,014;
2024-01-31T21:02:21;0;28,68;28,72;0;28,4;28,87;4,014;
2024-01-31T21:02:22;0;28,69;28,73;-0,002;28,4;28,87;4,014;
2024-01-31T21:02:23;0;28,66;28,7;0,003;28,4;28,87;4,008;
2024-01-31T21:02:23;0;28,65;28,69;-0,002;28,4;28,87;4,014;
2024-01-31T21:02:24;0;28,66;28,7;-0,002;28,4;28,87;4,014;
2024-01-31T21:02:25;0;28,64;28,68;0,002;28,4;28,87;4,014;
2024-01-31T21:02:26;0;28,68;28,72;0,001;28,4;28,87;4,01;
2024-01-31T21:02:26;0;28,68;28,72;0,001;28,4;28,87;3,982;
2024-01-31T21:02:27;0;28,62;28,66;0,002;28,4;28,87;3,89;
2024-01-31T21:02:28;1055;28,67;28,71;0,004;28,4;28,87;3,924;Mise à l'eau
2024-01-31T21:02:29;69310;28,29;28,33;0,208;28,4;28,87;3,922;
2024-01-31T21:02:29;68850;28,04;28,08;0,275;28,3;28,76;3,924;
2024-01-31T21:02:30;68730;27,91;27,95;0,307;28,2;28,66;3,92;
2024-01-31T21:02:31;69080;27,87;27,91;0,765;28,1;28,56;3,916;
2024-01-31T21:02:32;69440;27,82;27,86;1,545;28;28,46;3,856;
2024-01-31T21:02:32;69470;27,77;27,81;2,283;27,9;28,36;3,83;
2024-01-31T21:02:33;69480;27,78;27,82;2,823;27,9;28,36;3,848;
2024-01-31T21:02:34;69560;27,78;27,82;3,425;27,8;28,26;3,854;
2024-01-31T21:02:35;69530;27,78;27,82;3,581;27,7;28,15;3,866;
2024-01-31T21:02:35;69510;27,77;27,81;4,277;27,7;28,15;3,866;
2024-01-31T21:02:36;69590;27,74;27,78;5,033;27,6;28,05;3,874;
2024-01-31T21:02:37;69590;27,73;27,77;5,87;27,6;28,05;3,876;
2024-01-31T21:02:37;69590;27,73;27,77;6,613;27,6;28,05;3,878;
2024-01-31T21:02:38;69590;27,71;27,75;6,118;27,5;27,95;3,91;
2024-01-31T21:02:39;69590;27,71;27,75;5,741;27,5;27,95;3,91;
2024-01-31T21:02:40;69590;27,72;27,76;5,753;27,5;27,95;3,91;
2024-01-31T21:02:40;69550;27,74;27,78;6,068;27,4;27,85;3,91;
2024-01-31T21:02:41;69550;27,72;27,76;6,297;27,4;27,85;3,91;
2024-01-31T21:02:42;69610;27,71;27,75;6,216;27,4;27,85;3,91;
2024-01-31T21:02:43;69580;27,7;27,74;5,959;27,4;27,85;3,91;
2024-01-31T21:02:43;69590;27,71;27,75;5,872;27,3;27,75;3,91;
2024-01-31T21:02:44;69610;27,72;27,76;5,969;27,3;27,75;3,91;
2024-01-31T21:02:45;69610;27,73;27,77;5,873;27,3;27,75;3,91;
2024-01-31T21:02:46;69580;27,73;27,77;5,804;27,3;27,75;3,91;
2024-01-31T21:02:46;69560;27,7;27,74;6,089;27,3;27,75;3,91;
2024-01-31T21:02:47;69590;27,72;27,76;6,275;27,2;27,65;3,91;
2024-01-31T21:02:48;69620;27,71;27,75;6,024;27,2;27,65;3,91;
2024-01-31T21:02:49;69590;27,71;27,75;5,836;27,2;27,65;3,91;
2024-01-31T21:02:49;69630;27,71;27,75;5,806;27,2;27,65;3,91;
2024-01-31T21:02:50;69630;27,71;27,75;5,605;27,2;27,65;3,91;
2024-01-31T21:02:51;69660;27,68;27,72;5,542;27,2;27,65;3,91;
2024-01-31T21:02:52;69580;27,71;27,75;5,916;27,2;27,65;3,91;
2024-01-31T21:02:52;69610;27,73;27,77;6,121;27,2;27,65;3,912;
2024-01-31T21:02:53;69610;27,74;27,78;6,069;27,1;27,54;3,91;
2024-01-31T21:02:54;69610;27,68;27,72;6,121;27,1;27,54;3,912;
2024-01-31T21:02:55;69600;27,69;27,73;6,001;27,1;27,54;3,916;
2024-01-31T21:02:55;69630;27,67;27,71;5,657;27,1;27,54;3,914;
2024-01-31T21:02:56;69630;27,71;27,75;5,497;27,1;27,54;3,91;
2024-01-31T21:02:57;69640;27,71;27,75;5,738;27,1;27,54;3,91;
2024-01-31T21:02:57;69610;27,66;27,7;6,07;27,1;27,54;3,912;
2024-01-31T21:02:58;69640;27,71;27,75;6,18;27,1;27,54;3,91;
2024-01-31T21:02:59;69620;27,71;27,75;6,07;27,1;27,54;3,912;
2024-01-31T21:03:00;69610;27,66;27,7;5,861;27,1;27,54;3,91;
2024-01-31T21:03:00;69600;27,71;27,75;5,926;27,1;27,54;3,91;
2024-01-31T21:03:01;69620;27,63;27,68;6,221;27,1;27,54;3,912;
2024-01-31T21:03:02;69620;27,68;27,72;6,235;27,1;27,54;3,914;
2024-01-31T21:03:03;69640;27,72;27,76;5,973;27,1;27,54;3,91;
