/data_file_name=/CTD002_D20240624T171737,csv;;;;;;;;
/tare_pressure=10,321;;;;;;;;
/tare_pressure_sd=0,002;;;;;;;;
/tare_pressure_n=10;;;;;;;;
datetime;conductivity;temperature1;temperature 1 corrigé;pressure;temperature2;temperature 2 corrige;voltage;Remarques
2024-06-24T17:17:39;15890;6,66;6,88;0,013;6;6,11;3,972;
2024-06-24T17:17:40;15890;6,63;6,85;0,012;6;6,11;3,92;
2024-06-24T17:17:41;15440;6,61;6,83;0,021;6;6,11;3,92;
2024-06-24T17:17:41;15510;6,59;6,81;0,008;6;6,11;3,914;
2024-06-24T17:17:42;15500;6,55;6,77;0,018;6;6,11;3,91;
2024-06-24T17:17:43;15650;6,51;6,73;0,013;6;6,11;3,91;
2024-06-24T17:17:44;15900;6,48;6,71;0,019;6;6,11;3,912;
2024-06-24T17:17:44;15860;6,5;6,72;0,016;6;6,11;3,91;
2024-06-24T17:17:45;15480;6,41;6,64;0,024;6;6,11;3,91;
2024-06-24T17:17:46;15300;6,42;6,65;0,02;6;6,11;3,91;
2024-06-24T17:17:47;15230;6,39;6,62;0,009;6;6,11;3,914;
2024-06-24T17:17:48;15430;6,36;6,59;0,022;6;6,11;3,914;
2024-06-24T17:17:48;14980;6,33;6,56;0,017;6;6,11;3,91;
2024-06-24T17:17:49;15040;6,23;6,46;0,031;6;6,11;3,91;
2024-06-24T17:17:50;15040;6,2;6,43;0,032;6;6,11;3,91;
2024-06-24T17:17:51;14600;6,12;6,35;0,036;6;6,11;3,91;
2024-06-24T17:17:51;15360;6,03;6,26;0,044;6;6,11;3,808;
2024-06-24T17:17:52;15420;6,09;6,32;0,017;6;6,11;3,706;
2024-06-24T17:17:53;15600;6,07;6,3;0,018;6;6,11;3,592;
2024-06-24T17:17:54;15330;6,07;6,3;0,016;6;6,11;3,544;
2024-06-24T17:17:54;15590;6,06;6,29;0,021;6;6,11;3,484;
2024-06-24T17:17:55;15500;6,06;6,29;0,012;6,1;6,21;3,478;
2024-06-24T17:17:56;15500;6,05;6,28;0,017;6;6,11;3,474;
2024-06-24T17:17:57;15730;6,06;6,29;0,017;6;6,11;3,472;
2024-06-24T17:17:57;15930;6,04;6,27;0,008;6;6,11;3,504;
2024-06-24T17:17:58;16030;6,01;6,24;0,023;6;6,11;3,75;
2024-06-24T17:17:59;16330;6,02;6,25;0,014;6;6,11;3,73;
2024-06-24T17:18:00;17080;6,06;6,29;0,008;6;6,11;3,804;
2024-06-24T17:18:00;12690;6,02;6,25;0,013;6;6,11;3,876;
2024-06-24T17:18:01;38370;6,18;6,41;0,448;6;6,11;3,856;Mise à l'eau
2024-06-24T17:18:02;38350;6,48;6,71;0,66;6;6,11;3,878;
2024-06-24T17:18:03;38340;6,65;6,87;1,056;6;6,11;3,874;
2024-06-24T17:18:03;38320;6,75;6,97;1,729;6;6,11;3,872;
2024-06-24T17:18:04;38330;6,82;7,04;2,392;6;6,11;3,876;
2024-06-24T17:18:05;38270;6,82;7,04;3,278;6;6,11;3,864;
2024-06-24T17:18:06;37910;6,83;7,05;4,2;6;6,11;3,856;
2024-06-24T17:18:06;38190;6,78;7;5,021;5,9;6,01;3,864;
2024-06-24T17:18:07;38270;6,78;7;5,53;5,9;6,01;3,872;
2024-06-24T17:18:08;38320;6,76;6,98;5,354;5,9;6,01;3,882;
2024-06-24T17:18:09;38090;6,78;7;5,977;5,9;6,01;3,886;
2024-06-24T17:18:09;37730;6,72;6,94;6,797;5,9;6,01;3,89;
2024-06-24T17:18:10;37730;6,75;6,97;6,713;5,9;6,01;3,89;
2024-06-24T17:18:11;37790;6,76;6,98;6,003;5,9;6,01;3,886;
2024-06-24T17:18:12;37980;6,71;6,93;5,524;5,8;5,91;3,888;
2024-06-24T17:18:13;37930;6,72;6,94;5,688;5,8;5,91;3,894;
2024-06-24T17:18:13;37890;6,73;6,95;6,328;5,8;5,91;3,89;
2024-06-24T17:18:14;38110;6,71;6,93;6,562;5,8;5,91;3,89;
2024-06-24T17:18:15;37800;6,74;6,96;6,274;5,8;5,91;3,888;
2024-06-24T17:18:16;37870;6,73;6,95;6,042;5,8;5,91;3,89;
2024-06-24T17:18:16;37790;6,74;6,96;5,956;5,8;5,91;3,894;
2024-06-24T17:18:17;37790;6,74;6,96;6,231;5,8;5,91;3,89;
2024-06-24T17:18:18;37750;6,73;6,95;6,514;5,8;5,91;3,888;
2024-06-24T17:18:19;37730;6,7;6,92;6,417;5,8;5,91;3,888;
2024-06-24T17:18:19;37850;6,71;6,93;6,285;5,8;5,91;3,888;
2024-06-24T17:18:20;37960;6,77;6,99;6,358;5,8;5,91;3,888;
2024-06-24T17:18:21;37150;6,74;6,96;6,466;5,8;5,91;3,89;
2024-06-24T17:18:22;37590;6,69;6,91;6,358;5,7;5,81;3,89;
2024-06-24T17:18:22;37200;6,68;6,9;6,202;5,7;5,81;3,892;
2024-06-24T17:18:23;37260;6,68;6,9;6,497;5,7;5,81;3,898;
2024-06-24T17:18:24;37290;6,66;6,88;6,736;5,7;5,81;3,892;
2024-06-24T17:18:25;37340;6,66;6,88;6,566;5,7;5,81;3,898;
2024-06-24T17:18:25;37930;6,68;6,9;6,365;5,7;5,81;3,894;
2024-06-24T17:18:26;37710;6,73;6,95;6,342;5,7;5,81;3,89;
2024-06-24T17:18:27;37760;6,74;6,96;6,478;5,7;5,81;3,892;
2024-06-24T17:18:28;37640;6,72;6,94;6,661;5,7;5,81;3,89;
2024-06-24T17:18:28;37470;6,7;6,92;6,766;5,7;5,81;3,89;
2024-06-24T17:18:29;37730;6,65;6,87;6,767;5,7;5,81;3,892;
2024-06-24T17:18:30;37780;6,7;6,92;6,444;5,7;5,81;3,892;
2024-06-24T17:18:31;37840;6,72;6,94;6,147;5,7;5,81;3,89;
2024-06-24T17:18:31;37880;6,71;6,93;6,399;5,7;5,81;3,89;
2024-06-24T17:18:32;37850;6,74;6,96;6,844;5,7;5,81;3,892;
2024-06-24T17:18:33;37880;6,73;6,95;6,685;5,7;5,81;3,888;
2024-06-24T17:18:34;37780;6,7;6,92;6,518;5,7;5,81;3,89;
2024-06-24T17:18:35;37710;6,7;6,92;6,51;5,7;5,81;3,89;
2024-06-24T17:18:35;37630;6,65;6,87;6,486;5,7;5,81;3,89;
2024-06-24T17:18:36;37540;6,72;6,94;6,58;5,7;5,81;3,89;
2024-06-24T17:18:37;37120;6,6;6,82;6,724;5,7;5,81;3,892;
2024-06-24T17:18:38;37060;6,51;6,73;6,583;5,6;5,7;3,892;
2024-06-24T17:18:38;37020;6,54;6,76;6,441;5,6;5,7;3,894;
2024-06-24T17:18:39;37180;6,55;6,77;6,469;5,6;5,7;3,892;
2024-06-24T17:18:40;37450;6,73;6,95;6,642;5,7;5,81;3,89;
2024-06-24T17:18:41;37710;6,64;6,86;6,716;5,7;5,81;3,894;
2024-06-24T17:18:41;37800;6,72;6,94;6,658;5,7;5,81;3,888;
2024-06-24T17:18:42;38140;6,71;6,93;6,49;5,7;5,81;3,888;
2024-06-24T17:18:43;38050;6,73;6,95;5,962;5,7;5,81;3,888;
2024-06-24T17:18:44;38120;6,74;6,96;5,41;5,7;5,81;3,888;
2024-06-24T17:18:44;38240;6,75;6,97;4,853;5,7;5,81;3,888;
2024-06-24T17:18:45;38250;6,82;7,04;4,158;5,7;5,81;3,884;
2024-06-24T17:18:46;38210;6,82;7,04;3,475;5,7;5,81;3,89;
2024-06-24T17:18:47;38140;6,84;7,06;2,681;5,7;5,81;3,892;
2024-06-24T17:18:47;38390;6,84;7,06;1,931;5,7;5,81;3,888;
2024-06-24T17:18:48;38210;6,84;7,06;1,412;5,7;5,81;3,892;
2024-06-24T17:18:49;38210;6,9;7,12;0,678;5,7;5,81;3,89;
2024-06-24T17:18:50;38180;6,9;7,12;0,393;5,7;5,81;3,864;Début du profil
2024-06-24T17:18:50;38270;6,87;7,09;0,611;5,7;5,81;3,854;
2024-06-24T17:18:51;38240;6,89;7,11;1,071;5,7;5,81;3,858;
2024-06-24T17:18:52;38140;6,88;7,1;1,886;5,7;5,81;3,864;
2024-06-24T17:18:53;38170;6,87;7,09;2,712;5,7;5,81;3,864;
2024-06-24T17:18:53;38070;6,88;7,1;3,604;5,8;5,91;3,864;
2024-06-24T17:18:54;38070;6,85;7,07;4,5;5,8;5,91;3,87;
2024-06-24T17:18:55;38090;6,82;7,04;5,372;5,8;5,91;3,864;
2024-06-24T17:18:56;38090;6,78;7;6,25;5,8;5,91;3,87;
2024-06-24T17:18:57;37970;6,74;6,96;7,158;5,8;5,91;3,864;
2024-06-24T17:18:57;37920;6,73;6,95;8,059;5,8;5,91;3,866;
2024-06-24T17:18:58;38000;6,7;6,92;8,934;5,8;5,91;3,866;
2024-06-24T17:18:59;37930;6,72;6,94;9,822;5,8;5,91;3,866;
2024-06-24T17:19:00;37950;6,68;6,9;10,691;5,8;5,91;3,864;
2024-06-24T17:19:00;38000;6,68;6,9;11,568;5,8;5,91;3,87;
2024-06-24T17:19:01;38100;6,7;6,92;12,399;5,7;5,81;3,864;
2024-06-24T17:19:02;37950;6,64;6,86;13,292;5,8;5,91;3,87;
2024-06-24T17:19:03;37800;6,63;6,85;14,154;5,7;5,81;3,866;
2024-06-24T17:19:03;38060;6,63;6,85;15,015;5,8;5,91;3,866;
2024-06-24T17:19:04;37940;6,62;6,84;15,901;5,7;5,81;3,872;
2024-06-24T17:19:05;37980;6,62;6,84;16,788;5,7;5,81;3,864;
2024-06-24T17:19:06;37910;6,6;6,82;17,658;5,7;5,81;3,864;
2024-06-24T17:19:06;37960;6,56;6,78;18,543;5,7;5,81;3,864;
2024-06-24T17:19:07;37820;6,57;6,79;19,423;5,7;5,81;3,864;
2024-06-24T17:19:08;38140;6,57;6,79;20,309;5,7;5,81;3,866;
2024-06-24T17:19:09;38040;6,55;6,77;21,191;5,7;5,81;3,864;
2024-06-24T17:19:09;37980;6,53;6,75;22,074;5,7;5,81;3,872;
2024-06-24T17:19:10;37980;6,55;6,77;22,924;5,7;5,81;3,866;
2024-06-24T17:19:11;37750;6,54;6,76;23,79;5,7;5,81;3,87;
2024-06-24T17:19:12;38000;6,51;6,73;24,662;5,7;5,81;3,864;
2024-06-24T17:19:12;37990;6,53;6,75;25,551;5,7;5,81;3,864;
2024-06-24T17:19:13;37910;6,5;6,72;26,412;5,7;5,81;3,862;
2024-06-24T17:19:14;38140;6,49;6,71;27,309;5,7;5,81;3,864;
2024-06-24T17:19:15;37740;6,54;6,76;28,178;5,7;5,81;3,86;
2024-06-24T17:19:15;37950;6,49;6,71;29,025;5,7;5,81;3,864;
2024-06-24T17:19:16;37910;6,45;6,68;29,868;5,7;5,81;3,862;
2024-06-24T17:19:17;37610;6,46;6,69;30,71;5,7;5,81;3,864;
2024-06-24T17:19:18;37300;6,34;6,57;31,589;5,6;5,7;3,86;
2024-06-24T17:19:19;37280;6,34;6,57;32,487;5,6;5,7;3,856;
2024-06-24T17:19:19;37420;6,29;6,52;33,348;5,6;5,7;3,856;
2024-06-24T17:19:20;36970;6,39;6,62;34,224;5,6;5,7;3,856;
2024-06-24T17:19:21;38360;6,34;6,57;35,084;5,6;5,7;3,858;
2024-06-24T17:19:22;38160;6,3;6,53;35,924;5,7;5,81;3,856;
2024-06-24T17:19:22;37960;6,39;6,62;36,777;5,7;5,81;3,856;
2024-06-24T17:19:23;37730;6,48;6,71;37,646;5,7;5,81;3,852;
2024-06-24T17:19:24;37670;6,45;6,68;38,506;5,7;5,81;3,854;
2024-06-24T17:19:25;37520;6,41;6,64;39,37;5,7;5,81;3,854;
2024-06-24T17:19:25;37410;6,37;6,6;40,202;5,7;5,81;3,846;
2024-06-24T17:19:26;38590;6,28;6,51;41,011;5,8;5,91;3,846;
2024-06-24T17:19:27;38020;6,45;6,68;41,745;5,7;5,81;3,832;
2024-06-24T17:19:28;37740;6,25;6,48;42,476;5,7;5,81;3,838;
2024-06-24T17:19:28;37670;6,05;6,28;43,305;5,7;5,81;3,836;
2024-06-24T17:19:29;37260;5,91;6,14;44,166;5,6;5,7;3,834;
2024-06-24T17:19:30;37360;5,76;5,99;44,982;5,6;5,7;3,832;
2024-06-24T17:19:31;37180;5,58;5,81;45,813;5,5;5,6;3,828;
2024-06-24T17:19:31;37070;5,38;5,61;46,62;5,4;5,5;3,83;
2024-06-24T17:19:32;36890;5,22;5,46;47,465;5,3;5,4;3,836;
2024-06-24T17:19:33;36820;5,15;5,39;48,28;5,2;5,3;3,832;
2024-06-24T17:19:34;36460;5,03;5,27;49,104;5,2;5,3;3,826;
2024-06-24T17:19:34;36410;4,88;5,12;49,933;5,1;5,2;3,826;
2024-06-24T17:19:35;36410;4,71;4,95;50,764;5;5,1;3,822;
2024-06-24T17:19:36;36380;4,59;4,83;51,611;4,9;4,99;3,828;
2024-06-24T17:19:37;36280;4,47;4,71;52,442;4,8;4,89;3,822;
2024-06-24T17:19:37;36150;4,42;4,66;53,285;4,7;4,79;3,812;
2024-06-24T17:19:38;36100;4,29;4,53;54,146;4,6;4,69;3,812;
2024-06-24T17:19:39;36080;4,24;4,48;55,021;4,5;4,59;3,816;
2024-06-24T17:19:40;36050;4,21;4,45;55,86;4,4;4,49;3,818;
2024-06-24T17:19:41;36030;4,12;4,37;56,681;4,3;4,38;3,81;
2024-06-24T17:19:41;36020;4,11;4,36;57,517;4,3;4,38;3,81;
2024-06-24T17:19:42;36010;4,1;4,35;58,345;4,2;4,28;3,816;
2024-06-24T17:19:43;35990;4,06;4,31;59,193;4,2;4,28;3,816;
2024-06-24T17:19:44;35950;4,07;4,32;60,007;4,1;4,18;3,81;
2024-06-24T17:19:44;35960;4,02;4,27;60,847;4;4,08;3,808;
2024-06-24T17:19:45;35940;4,01;4,26;61,656;4;4,08;3,8;
2024-06-24T17:19:46;35990;4,02;4,27;62,475;3,9;3,98;3,802;
2024-06-24T17:19:47;35960;4;4,25;63,314;3,9;3,98;3,8;
2024-06-24T17:19:47;35900;3,99;4,24;64,176;3,9;3,98;3,796;
2024-06-24T17:19:48;35830;4,01;4,26;65,041;3,8;3,88;3,79;
2024-06-24T17:19:49;35630;3,94;4,19;65,919;3,8;3,88;3,778;
2024-06-24T17:19:50;35850;3,85;4,1;66,789;3,7;3,77;3,766;
2024-06-24T17:19:50;35840;3,85;4,1;67,643;3,7;3,77;3,754;
2024-06-24T17:19:51;35840;3,83;4,08;68,488;3,7;3,77;3,746;
2024-06-24T17:19:52;35850;3,85;4,1;69,347;3,6;3,67;3,74;
2024-06-24T17:19:53;35850;3,83;4,08;70,206;3,6;3,67;3,748;
2024-06-24T17:19:53;35830;3,83;4,08;71,065;3,6;3,67;3,748;
2024-06-24T17:19:54;35800;3,8;4,05;71,907;3,6;3,67;3,738;
2024-06-24T17:19:55;35760;3,77;4,02;72,725;3,5;3,57;3,726;
2024-06-24T17:19:56;35730;3,73;3,98;73,564;3,5;3,57;3,736;
2024-06-24T17:19:56;35700;3,69;3,94;74,412;3,5;3,57;3,746;
2024-06-24T17:19:57;35600;3,68;3,93;75,259;3,5;3,57;3,754;
2024-06-24T17:19:58;35550;3,67;3,92;76,108;3,4;3,47;3,762;
2024-06-24T17:19:59;35650;3,65;3,9;76,955;3,4;3,47;3,764;
2024-06-24T17:19:59;35610;3,65;3,9;77,794;3,4;3,47;3,762;
2024-06-24T17:20:00;35590;3,64;3,89;78,645;3,3;3,37;3,762;
2024-06-24T17:20:01;35510;3,62;3,87;79,498;3,3;3,37;3,768;
2024-06-24T17:20:02;35620;3,63;3,88;80,362;3,3;3,37;3,768;
2024-06-24T17:20:03;35630;3,58;3,83;81,206;3,3;3,37;3,766;
2024-06-24T17:20:03;35490;3,59;3,84;82,056;3,3;3,37;3,764;
2024-06-24T17:20:04;35480;3,58;3,83;82,912;3,2;3,27;3,768;
2024-06-24T17:20:05;35520;3,57;3,82;83,772;3,2;3,27;3,772;
2024-06-24T17:20:06;35590;3,6;3,85;84,619;3,2;3,27;3,762;
2024-06-24T17:20:06;35600;3,53;3,78;85,485;3,2;3,27;3,764;
2024-06-24T17:20:07;35570;3,61;3,86;86,328;3,2;3,27;3,768;
2024-06-24T17:20:08;35470;3,55;3,8;87,182;3,2;3,27;3,758;
2024-06-24T17:20:09;35630;3,56;3,81;88,02;3,2;3,27;3,758;
2024-06-24T17:20:09;35630;3,6;3,85;88,853;3,2;3,27;3,754;
2024-06-24T17:20:10;35620;3,57;3,82;89,69;3,2;3,27;3,764;
2024-06-24T17:20:11;35620;3,55;3,8;90,509;3,2;3,27;3,768;
2024-06-24T17:20:12;35480;3,6;3,85;90,708;3,2;3,27;3,768;
2024-06-24T17:20:12;35580;3,58;3,83;90,083;3,1;3,17;3,784;
2024-06-24T17:20:13;35610;3,59;3,84;89,362;3,1;3,17;3,806;
2024-06-24T17:20:14;35610;3,58;3,83;88,743;3,1;3,17;3,826;
2024-06-24T17:20:15;35600;3,61;3,86;88,133;3,1;3,17;3,826;
2024-06-24T17:20:15;35600;3,61;3,86;87,577;3,1;3,17;3,826;
2024-06-24T17:20:16;35590;3,58;3,83;86,963;3,1;3,17;3,83;
2024-06-24T17:20:17;35610;3,56;3,81;86,324;3,1;3,17;3,834;
2024-06-24T17:20:18;35610;3,54;3,79;85,683;3,1;3,17;3,832;
2024-06-24T17:20:18;35610;3,56;3,81;85,169;3,1;3,17;3,832;
2024-06-24T17:20:19;35600;3,54;3,79;84,671;3;3,06;3,83;
2024-06-24T17:20:20;35600;3,53;3,78;84,172;3;3,06;3,836;
2024-06-24T17:20:21;35630;3,57;3,82;83,52;3;3,06;3,83;
2024-06-24T17:20:21;35640;3,58;3,83;82,684;3;3,06;3,84;
2024-06-24T17:20:22;35660;3,59;3,84;81,969;3;3,06;3,832;
2024-06-24T17:20:23;35660;3,58;3,83;81,646;3;3,06;3,83;
2024-06-24T17:20:24;35650;3,55;3,8;81,332;3;3,06;3,83;
2024-06-24T17:20:25;35660;3,57;3,82;80,739;3;3,06;3,832;
2024-06-24T17:20:25;35650;3,6;3,85;80,082;3;3,06;3,832;
2024-06-24T17:20:26;35670;3,61;3,86;79,426;3;3,06;3,832;
2024-06-24T17:20:27;35700;3,6;3,85;78,82;3;3,06;3,834;
2024-06-24T17:20:28;35670;3,56;3,81;78,623;3;3,06;3,836;
2024-06-24T17:20:28;35690;3,61;3,86;78,712;3;3,06;3,832;
2024-06-24T17:20:29;35700;3,58;3,83;78,33;3;3,06;3,836;
2024-06-24T17:20:30;35690;3,62;3,87;77,384;3;3,06;3,836;
2024-06-24T17:20:31;35690;3,64;3,89;76,544;3;3,06;3,832;
2024-06-24T17:20:31;35700;3,63;3,88;76,063;3;3,06;3,838;
2024-06-24T17:20:32;35690;3,57;3,82;75,882;3;3,06;3,836;
2024-06-24T17:20:33;35700;3,65;3,9;75,673;3;3,06;3,84;
2024-06-24T17:20:34;35690;3,62;3,87;75,17;3;3,06;3,84;
2024-06-24T17:20:34;35690;3,6;3,85;74,394;3;3,06;3,836;
2024-06-24T17:20:35;35710;3,62;3,87;73,696;2,9;2,96;3,836;
2024-06-24T17:20:36;35690;3,64;3,89;73,496;2,9;2,96;3,836;
2024-06-24T17:20:37;35710;3,67;3,92;73,269;2,9;2,96;3,838;
2024-06-24T17:20:37;35730;3,68;3,93;72,617;2,9;2,96;3,836;
2024-06-24T17:20:38;35770;3,67;3,92;71,756;2,9;2,96;3,838;
2024-06-24T17:20:39;35780;3,69;3,94;70,798;2,9;2,96;3,838;
2024-06-24T17:20:40;35810;3,75;4;70,481;2,9;2,96;3,836;
2024-06-24T17:20:40;35810;3,74;3,99;70,57;3;3,06;3,84;
2024-06-24T17:20:41;35820;3,77;4,02;70,262;3;3,06;3,84;
2024-06-24T17:20:42;35820;3,76;4,01;69,649;3;3,06;3,838;
2024-06-24T17:20:43;35830;3,78;4,03;68,459;3;3,06;3,832;
2024-06-24T17:20:43;35850;3,77;4,02;67,687;3;3,06;3,828;
2024-06-24T17:20:44;35840;3,79;4,04;67,757;3;3,06;3,828;
2024-06-24T17:20:45;35860;3,76;4,01;67,871;3;3,06;3,828;
2024-06-24T17:20:46;35850;3,79;4,04;67,042;3;3,06;3,832;
2024-06-24T17:20:47;35770;3,77;4,02;65,922;3;3,06;3,834;
2024-06-24T17:20:47;35770;3,8;4,05;64,943;3;3,06;3,834;
2024-06-24T17:20:48;35760;3,86;4,11;64,537;3;3,06;3,838;
2024-06-24T17:20:49;35750;3,85;4,1;64,794;3;3,06;3,832;
