datetime;conductivity;temperature1;temperature 1 corrected;pressure;temperature2;température corrected;voltage;Remarks
2024-07-18T19:18:53;36720;8.56;8.77;2.018;10.6;10.78;4.01;Mise à l'eau
2024-07-18T19:18:53;35670;7.9;8.11;2.822;10.3;10.48;3.964;
2024-07-18T19:18:54;35190;6.94;7.16;3.644;10;10.17;3.964;
2024-07-18T19:18:55;34830;6.14;6.37;4.473;9.6;9.77;3.968;
2024-07-18T19:18:56;34870;5.57;5.8;5.025;9.2;9.36;3.966;
2024-07-18T19:18:56;35060;5.29;5.53;4.948;8.8;8.96;3.964;
2024-07-18T19:18:57;34890;5.19;5.43;4.953;8.4;8.55;3.968;
2024-07-18T19:18:58;34870;5.04;5.28;4.985;8.1;8.24;3.966;
2024-07-18T19:18:59;34920;4.9;5.14;4.971;7.8;7.94;3.968;
2024-07-18T19:18:59;34960;4.82;5.06;4.981;7.5;7.63;3.966;
2024-07-18T19:19:00;34970;4.78;5.02;4.953;7.3;7.43;3.964;
2024-07-18T19:19:01;34950;4.73;4.97;4.959;7.1;7.23;3.966;
2024-07-18T19:19:02;35000;4.74;4.98;4.945;6.9;7.03;3.964;
2024-07-18T19:19:03;34990;4.72;4.96;4.946;6.7;6.82;3.968;
2024-07-18T19:19:03;34970;4.72;4.96;4.961;6.6;6.72;3.968;
2024-07-18T19:19:04;35010;4.72;4.96;4.97;6.4;6.52;3.968;
2024-07-18T19:19:05;34990;4.73;4.97;4.971;6.3;6.42;3.966;
2024-07-18T19:19:06;35000;4.69;4.93;4.967;6.2;6.31;3.966;
2024-07-18T19:19:06;35030;4.71;4.95;4.96;6.1;6.21;3.966;
2024-07-18T19:19:07;35060;4.71;4.95;5.015;6;6.11;3.964;
2024-07-18T19:19:08;35040;4.76;5;5.022;5.9;6.01;3.966;
2024-07-18T19:19:09;34990;4.74;4.98;4.992;5.8;5.91;3.968;
2024-07-18T19:19:09;35010;4.71;4.95;5.011;5.7;5.81;3.966;
2024-07-18T19:19:10;34990;4.72;4.96;5.003;5.6;5.7;3.964;
2024-07-18T19:19:11;34960;4.72;4.96;5.014;5.5;5.6;3.968;
2024-07-18T19:19:12;34980;4.67;4.91;5.058;5.4;5.5;3.966;
2024-07-18T19:19:12;34910;4.69;4.93;5.018;5.3;5.4;3.966;
2024-07-18T19:19:13;34920;4.72;4.96;4.994;5.2;5.3;3.968;
